1	15325	0.056802	0.005314
2	15823	0.028642	0.004104
3	9209	0.010234	0.002426
4	4779	0.006128	0.001931
5	10396	0.031177	0.003914
6	15697	0.038787	0.00476
7	5805	0.011831	0.002635
8	6594	0.006163	0.002222
9	4966	0.020275	0.003153
10	7739	0.020285	0.003177
11	5884	0.019066	0.003179
12	7501	0.010378	0.002387
13	3060	0.007076	0.002007
14	5011	0.002104	0.001143
15	2063	0.008194	0.001976
16	5251	0.057623	0.005618
17	3827	0.014205	0.002819
18	2306	0.005522	0.001715
19	3069	0.011297	0.002243
20	2958	0.010295	0.002331
21	1417	0.005282	0.001462
22	2173	0.007473	0.002017
