1	15325	0.060603	0.006381
2	15823	0.018301	0.003766
3	9209	0.008449	0.002545
4	4779	0.006687	0.002845
5	10396	0.011256	0.002813
6	15697	0.058209	0.006723
7	5805	0.010249	0.002897
8	6594	0.001013	0.001256
9	4966	0.013476	0.003385
10	7739	0.018387	0.003624
11	5884	0.016095	0.003522
12	7501	0.008773	0.002624
13	3060	0.005505	0.002171
14	5011	0.002128	0.001315
15	2063	0.001943	0.001639
16	5251	0.012927	0.00335
17	3827	0.016339	0.003617
18	2306	0.006789	0.002222
19	3069	0.006283	0.002228
20	2958	0.00774	0.002486
21	1417	0.009932	0.002386
22	2173	0.005103	0.001874
