1	15325	0.056952	0.005272
2	15823	0.033139	0.004241
3	9209	0.007167	0.001995
4	4779	0.005883	0.002008
5	10396	0.026699	0.003599
6	15697	0.034716	0.004507
7	5805	0.008444	0.002198
8	6594	0.005976	0.002113
9	4966	0.019546	0.003184
10	7739	0.023997	0.003536
11	5884	0.012541	0.002608
12	7501	0.010277	0.002366
13	3060	0.006066	0.001772
14	5011	0.004124	0.00147
15	2063	0.007152	0.001895
16	5251	0.050482	0.005226
17	3827	0.018944	0.003284
18	2306	0.006864	0.001846
19	3069	0.015849	0.002649
20	2958	0.005483	0.001755
21	1417	0.00515	0.001425
22	2173	0.011878	0.002544
